  33, 110,   4,           462460.40,           504198.28
  33, 109,   8,            78769.93,            79202.81
  33, 106,   4,           458814.86,           623773.22
  33, 103,   6,           286314.81,           289547.19
  33, 101,   3,           313789.62,           319617.50
  33,  91,  15,            20142.73,            20651.75
  33,  81,  13,           145179.03,           157629.75
  33,  59,   2,           107650.15,           210875.47
  33,  58,  11,           159196.02,           164979.06
  33,  56,   2,             7875.45,            17892.59
  33,  49,   5,            93193.59,           100148.50
  33, 107,   2,             6835.70,            17340.78
  33,  48,   4,            18892.80,            27039.00
  33,  44,   6,           222082.61,           225856.88
  33, 351,   3,           133543.55,           148259.06
  33,  40,   5,            69914.95,            87736.62
  33,  32,   4,            30256.17,            36868.59
  33,  21,   2,           160671.49,           172083.50
  33, 255,   2,            98215.92,           103982.44
  33,  16,   7,           482310.08,           567037.69
  33,   4,   3,           214369.06,           313097.94
  54, 216,   3,            54000.00,            78006.93
  54, 203,   4,            83179.00,           117010.39
  54, 117,   4,           102978.00,           117010.39
  54, 174,   2,            35328.00,            39003.46
  54, 171,   3,            71493.00,            78006.93
  54, 162,   4,            25857.00,            33518.34
  54, 150,   9,           279110.00,           312027.72
  54, 106,   2,             5672.00,            39003.46
  54, 104,   6,            38906.00,            48062.03
  54,  99,  14,            14066.00,            14900.84
  54, 255,   3,            47512.00,            78006.93
  68, 249,  10,           693599.00,           775709.16
  68, 237,   2,              497.00,            55877.53
  68, 223,   2,               97.00,            68787.91
  68, 222,   9,           284300.00,           303847.50
  68, 217,  19,            36531.00,            38549.25
  68, 216,   3,            66000.00,            93039.81
  68, 211,  11,            87419.00,            90475.62
  68, 203,   8,           947990.00,           981627.72
  68, 198,   2,               29.00,             2861.72
  68, 195,  31,           389442.00,           395487.19
  68, 194,   2,                1.00,            53793.25
  68, 174,  17,           639642.00,           640585.50
  68, 159,   3,           200145.00,           244732.69
  68, 156,   2,                3.00,             9008.06
  68, 153,   2,               23.00,              991.69
  68, 150,  13,          1637643.00,          1692496.88
  68, 143,  21,          2047329.00,          2114290.00
  68, 138,   2,            27000.00,           104706.03
  68, 137,  24,           131100.00,           136414.44
  68, 136,  31,           336666.00,           344298.75
  68, 134,  18,            14442.00,            14769.28
