     9,   255,             2273392
     9,    19,                8603
     9,    40,              140379
     9,    44,              890562
     9,    46,               47664
     9,    58,              548308
     9,   114,              152934
     9,   147,                6142
     9,   184,               25907
     9,   226,               34255
    10,     4,             3050086
    10,    16,             2588948
    10,   255,              568348
    10,    72,               44144
    10,    59,             6356103
    10,   238,              939211
    10,    66,              128761
    10,   100,              228564
    10,   101,             2034151
    10,   121,              356920
    10,   130,               19505
    10,   134,                6183
    10,   137,               75917
    10,   153,               25389
    10,   165,                3168
    11,    53,                6864
    11,    84,              160848
    11,   106,               59376
    11,   256,                6734
    11,   154,               43828
    11,   134,                6183
    27,     3,              107042
    27,    50,              142046
    27,    72,               44144
    27,    59,             2222345
    27,   154,               29219
    33,    21,             2540518
    33,    32,              157306
    33,    40,              280759
    33,   351,              948874
    33,    44,              593708
    33,    48,              173049
    33,    49,              645350
    33,    56,              572563
    33,    81,              420346
    33,    91,               18881
    33,   103,              370905
    33,   107,              110981
    33,   109,              217242
    33,   131,              675985
    33,   141,               56152
    33,   147,               12284
    98,     3,              107042
    98,    80,              166892
   167,   106,              540103
   167,   150,             2160412
    54,    99,               36679
    54,   150,              745123
    54,   171,             2426061
    54,   216,              318435
    63,   114,               36558
    63,   150,               18279
    63,   203,               18279
    67,   104,              120708
    67,   106,               30177
    68,     2,               41291
    68,     3,               53521
    68,     4,             1016695
    68,     1,              231624
    68,    21,              846839
    68,    32,               78653
    68,    46,               15888
    68,    90,                7250
    68,   106,             4235922
    68,   107,              443924
    68,   110,             1075655
    68,   133,               21138
    68,   134,               12367
    68,   136,              367507
    68,   138,             1748161
    68,   143,             1355284
    68,   150,              871928
    68,   153,                6347
    68,   156,               56225
    68,   159,             3189732
    68,   174,             1490283
    68,   194,             1721446
    68,   198,               10333
    68,   217,               27412
    68,   222,             1053880
    68,   223,              281841
    68,   237,              420209
    68,   249,             1693332
    79,     4,             1016695
    79,     1,               57906
    79,    52,              134521
    79,    32,              157306
    79,   351,              948874
    79,    73,              364078
    79,   104,              102813
    79,   106,             1411974
    79,   110,             3226966
    79,   112,              636632
    79,   118,              230728
    79,   256,               13468
    79,   130,               19505
    79,   144,              551379
    79,   181,               32828
    97,    80,               55630
    97,   105,              598357
    97,   150,              461997
    97,   198,               31000
    97,   203,              923994
    97,   207,                2550
    97,   211,               64483
   119,   101,              160642
   119,   159,              160642
   119,   162,              143638
   119,   197,                2555
   119,   203,              160642
   119,   223,              160642
   126,   101,              199054
   126,   159,              199054
   126,   162,               71819
   126,   197,                5110
   126,   202,              199054
   126,   203,              199054
   146,    59,              418759
   169,    21,              221317
   169,   114,              458804
   169,   133,               42277
   169,    38,              221317
   173,    21,              539517
   173,    59,             1079034
   173,   162,               71819
   173,   203,              539517
   173,   211,              193449
   183,    59,              341585
   183,   100,               76188
   183,   105,              598357
   183,   106,              341585
   183,   171,              341585
   185,    16,              647237
   185,    72,               22072
   185,   100,               76188
   185,   101,             2034151
   185,   102,               63354
   185,   103,             1112715
   185,   110,             1075655
   185,   113,                 300
   185,   131,              225328
   185,   143,             2032926
   185,   162,               71819
   185,   221,              271824
   185,   117,             2621547
   185,    38,              242790
   185,   206,             1680881
   185,   215,              555075
   185,   216,             1273741
   185,   222,              351293
   185,   223,              281841
   185,   225,              478882
   185,   235,                2227
   185,   249,              564444
   272,   106,              371987
   272,   198,               10333
   199,   203,              539275
   210,   203,              417944
   230,    39,                7174
   230,   116,               14767
   230,   117,              873849
   230,   203,              835802
   230,    38,              485580
   230,   211,               64483
   230,   215,              138768
   230,   226,               34255
   230,   225,              239441
   230,   237,              840418
   230,   249,              564444
   229,   237,              840418
   231,     2,               10322
   231,    14,                3321
   231,    23,               19685
   231,    60,              187048
   231,    86,                3848
   231,    90,               14500
   231,    95,              172619
   231,   109,              144828
   231,   123,               13630
   231,   133,               21138
   231,    28,              124492
   231,   147,               12284
   231,   157,               92335
   231,   165,                1056
   231,   166,              137804
   231,   170,             1029555
   231,   191,               30788
   231,   197,                5110
   231,   202,              934237
   231,   117,              873849
   231,   220,               27410
   231,   225,              239441
   231,   236,             1234772
   234,   159,              124153
   234,   223,              496612
   251,   130,                 596
   251,   202,                1789
